id;clave;valor;detalle
1;American Samoa gold data-warehouse;Frozen;Switzerland
2;Accounts mindshare mint green;infrastructure;Group applications
3;Ergonomic TCP;Home Loan Account Soft;Officer Right-sized Home Loan Account
4;Gorgeous Metal Pizza;Savings Account;cross-platform
5;panel;Corporate;matrix
6;incentivize;Car Fresh hierarchy;Investor synergize transmitting
7;Toys Mouse;hack leading-edge;auxiliary pricing structure
8;Gibraltar Pound Steel red;Human calculate;Personal Loan Account website
9;Re-contextualized virtual;deposit copying;Ergonomic Berkshire Oregon
10;deposit;Generic Handcrafted Rubber Computer;Baby Garden Computer
